time,altitude,speed,temperature,voltage
11.3,4929,1021,88.88,8.6
11.35,4978,1013,88.88,8.6
11.4,5027,1012,88.9,8.6
11.45,5098,1015,88.88,8.6
11.5,5154,1024,88.9,8.6
11.55,5191,1055,88.9,8.6
11.6,5217,1118,88.88,8.6
11.65,5281,1188,88.88,8.6
11.7,5366,1241,88.88,8.6
11.75,5442,1249,88.88,8.6
11.8,5515,1179,88.88,8.6
11.85,5602,1065,88.88,8.6
11.9,5586,961,88.92,8.6
11.95,5613,896,88.92,8.6
12,5674,903,88.92,8.6
12.05,5715,989,88.92,8.6
12.1,5770,1105,88.92,8.6
12.15,5831,1220,88.92,8.6
12.2,5909,1319,88.92,8.6
12.25,5978,1372,88.92,8.6
12.3,6061,1381,88.92,8.6
12.35,6132,1354,88.92,8.6
12.4,6188,1306,88.92,8.6
12.45,6251,1247,88.95,8.6
12.5,6321,1193,88.95,8.6
12.55,6361,1146,88.93,8.6
12.6,6410,1097,88.95,8.6
12.65,6483,1043,88.95,8.6
12.7,6545,988,88.95,8.6
12.75,6578,945,88.95,8.6
12.8,6592,923,88.95,8.6
12.85,6648,929,88.95,8.6
12.9,6708,949,88.95,8.6
12.95,6756,962,88.95,8.6
13,6809,951,88.97,8.6
13.05,6858,912,88.97,8.6
13.1,6913,863,88.97,8.6
13.15,6930,832,88.97,8.6
13.2,6961,834,88.97,8.6
13.25,7005,873,88.99,8.6
13.3,7051,942,88.97,8.6
13.35,7109,1017,88.97,8.6
13.4,7178,1091,88.99,8.6
13.45,7221,1168,89.01,8.6
13.5,7272,1245,89.01,8.6
13.55,7345,1321,89.01,8.6
13.6,7417,1389,89.01,8.6
13.65,7503,1437,89.01,8.6
13.7,7575,1478,89.01,8.6
13.75,7659,1577,89.01,8.6
13.8,7714,1784,89.02,8.6
13.85,7775,2129,89.02,8.6
13.9,7859,2575,89.06,8.6
13.95,8030,2984,89.04,8.6
14,8322,3207,89.02,8.6
14.05,8536,3156,89.04,8.6
14.1,8686,2827,89.04,8.6
14.15,8784,2320,89.08,8.6
14.2,8840,1812,89.06,8.6
14.25,8865,1432,89.08,8.6
14.3,8904,1248,89.06,8.6
14.35,8968,1272,89.08,8.6
14.4,9032,1443,89.08,8.6
14.45,9101,1683,89.08,8.6
14.5,9200,1912,89.08,8.6
14.55,9324,2048,89.08,8.6
14.6,9489,2038,89.08,8.6
14.65,9602,1885,89.08,8.6
14.7,9674,1642,89.1,8.6
14.75,9716,1397,89.1,8.6
14.8,9749,1250,89.08,8.6
14.85,9780,1253,89.1,8.6
14.9,9840,1401,89.08,8.6
14.95,9930,1639,89.1,8.6
15,10034,1880,89.1,8.6
15.05,10156,2053,89.1,8.6
15.1,10278,2105,89.13,8.6
15.15,10419,2037,89.1,8.6
15.2,10503,1887,89.11,8.6
15.25,10566,1703,89.13,8.6
15.3,10641,1533,89.13,8.6
15.35,10701,1429,89.13,8.6
15.4,10762,1400,89.13,8.6
15.45,10835,1441,89.11,8.6
15.5,10901,1544,89.13,8.6
15.55,10964,1664,89.15,8.6
15.6,11077,1757,89.15,8.6
15.65,11195,1794,89.13,8.6
15.7,11300,1760,89.13,8.6
15.75,11371,1664,89.17,8.6
15.8,11442,1542,89.17,8.6
15.85,11506,1449,89.17,8.6
15.9,11561,1417,89.17,8.6
15.95,11637,1459,89.17,8.6
16,11699,1566,89.17,8.6
16.05,11764,1691,89.19,8.6
16.1,11892,1781,89.19,8.6
16.15,12007,1816,89.19,8.6
16.2,12110,1786,89.17,8.6
16.25,12178,1713,89.19,8.6
16.3,12235,1647,89.19,8.6
16.35,12314,1607,89.19,8.6
16.4,12402,1606,89.19,8.6
16.45,12484,1640,89.19,8.6
16.5,12566,1673,89.19,8.6
16.55,12660,1693,89.22,8.6
16.6,12732,1692,89.19,8.6
16.65,12830,1663,89.22,8.6
16.7,12928,1619,89.2,8.6
16.75,12988,1581,89.2,8.6
16.8,13050,1549,89.22,8.6
16.85,13134,1539,89.22,8.6
16.9,13213,1555,89.26,8.6
16.95,13292,1583,89.22,8.6
17,13367,1611,89.24,8.6
17.05,13454,1630,89.24,8.6
17.1,13544,1628,89.26,8.6
17.15,13626,1612,89.26,8.6
17.2,13703,1585,89.26,8.6
17.25,13778,1562,89.26,8.6
17.3,13850,1556,89.28,8.6
17.35,13926,1564,89.28,8.6
17.4,14008,1585,89.29,8.6
17.45,14080,1605,89.29,8.6
17.5,14178,1609,89.28,8.6
17.55,14267,1599,89.29,8.6
17.6,14333,1581,89.29,8.6
17.65,14406,1560,89.29,8.6
17.7,14478,1547,89.29,8.6
17.75,14567,1542,89.29,8.6
17.8,14645,1543,89.29,8.6
17.85,14716,1553,89.31,8.6
17.9,14791,1562,89.31,8.6
17.95,14874,1573,89.33,8.6
18,14946,1583,89.31,8.6
18.05,15037,1588,89.31,8.6
18.1,15124,1582,89.35,8.6
18.15,15191,1573,89.33,8.6
18.2,15258,1561,89.35,8.6
18.25,15349,1546,89.35,8.6
18.3,15443,1543,89.37,8.6
18.35,15489,1547,89.37,8.6
18.4,15564,1551,89.37,8.6
18.45,15659,1551,89.38,8.6
18.5,15744,1541,89.38,8.6
18.55,15819,1522,89.38,8.6
18.6,15882,1504,89.38,8.6
18.65,15958,1492,89.4,8.6
18.7,16030,1490,89.4,8.6
18.75,16094,1501,89.4,8.6
18.8,16192,1508,89.4,8.6
18.85,16273,1513,89.4,8.6
18.9,16330,1515,89.4,8.6
18.95,16396,1508,89.44,8.6
19,16495,1500,89.42,8.6
19.05,16568,1493,89.42,8.6
19.1,16636,1489,89.42,8.6
19.15,16701,1487,89.46,8.6
19.2,16785,1489,89.44,8.6
19.25,16857,1495,89.46,8.6
19.3,16925,1497,89.44,8.6
19.35,17020,1496,89.44,8.6
19.4,17089,1499,89.46,8.6
19.45,17148,1502,89.47,8.6
19.5,17226,1508,89.49,8.6
19.55,17307,1518,89.49,8.6
19.6,17391,1519,89.47,8.6
19.65,17471,1515,89.47,8.6
19.7,17530,1509,89.51,8.6
19.75,17616,1501,89.51,8.6
19.8,17678,1499,89.51,8.6
19.85,17757,1502,89.51,8.6
19.9,17845,1502,89.51,8.6
19.95,17919,1507,89.51,8.6
20,17979,1512,89.53,8.6
20.05,18054,1514,89.55,8.6
20.1,18142,1518,89.56,8.6
20.15,18221,1517,89.55,8.6
20.2,18294,1507,89.56,8.6
20.25,18367,1496,89.56,8.6
20.3,18437,1485,89.56,8.6
20.35,18511,1475,89.58,8.6
20.4,18589,1470,89.6,8.6
20.45,18657,1467,89.56,8.6
20.5,18744,1466,89.6,8.6
20.55,18802,1468,89.62,8.6
20.6,18872,1468,89.62,8.6
20.65,18949,1463,89.62,8.6
20.7,19036,1454,89.62,8.6
20.75,19113,1440,89.62,8.6
20.8,19168,1434,89.62,8.6
20.85,19222,1439,89.64,8.6
20.9,19309,1443,89.65,8.6
20.95,19393,1449,89.65,8.6
21,19466,1440,89.65,8.6
21.05,19538,1419,89.67,8.6
21.1,19603,1407,89.67,8.6
21.15,19656,1407,89.69,8.6
21.2,19737,1423,89.69,8.6
21.25,19800,1451,89.69,8.6
21.3,19890,1468,89.69,8.6
21.35,19977,1467,89.71,8.6
21.4,20036,1452,89.71,8.6
21.45,20103,1426,89.73,8.6
21.5,20170,1406,89.73,8.6
21.55,20245,1395,89.73,8.6
21.6,20323,1394,89.73,8.6
21.65,20375,1407,89.74,8.6
21.7,20450,1418,89.74,8.6
21.75,20528,1426,89.78,8.6
21.8,20595,1432,89.78,8.6
21.85,20672,1416,89.74,8.6
21.9,20757,1396,89.76,8.6
21.95,20802,1382,89.78,8.6
22,20873,1369,89.8,8.6
22.05,20942,1373,89.82,8.6
22.1,21004,1389,89.82,8.6
22.15,21089,1398,89.82,8.6
22.2,21160,1406,89.82,8.6
22.25,21225,1411,89.82,8.6
22.3,21293,1409,89.83,8.6
22.35,21364,1418,89.83,8.6
22.4,21431,1426,89.83,8.6
22.45,21511,1428,89.83,8.6
22.5,21585,1427,89.83,8.6
22.55,21654,1417,89.87,8.6
22.6,21731,1400,89.87,8.6
22.65,21782,1389,89.89,8.6
22.7,21852,1381,89.91,8.6
22.75,21935,1374,89.91,8.6
22.8,22011,1382,89.89,8.6
22.85,22054,1396,89.92,8.6
22.9,22128,1409,89.92,8.6
22.95,22205,1426,89.92,8.6
23,22281,1427,89.92,8.6
23.05,22371,1405,89.92,8.6
23.1,22428,1376,89.92,8.6
23.15,22478,1347,89.96,8.6
23.2,22557,1324,89.96,8.6
23.25,22616,1329,89.98,8.6
23.3,22676,1346,89.96,8.6
23.35,22753,1359,89.96,8.6
23.4,22830,1372,89.98,8.6
23.45,22895,1374,90,8.6
23.5,22964,1366,90.01,8.6
23.55,23020,1357,90.01,8.6
23.6,23093,1346,90.03,8.6
23.65,23171,1331,90.03,8.6
23.7,23242,1325,90.03,8.6
23.75,23283,1327,90.03,8.6
23.8,23350,1333,90.05,8.6
23.85,23426,1343,90.05,8.6
23.9,23501,1348,90.07,8.6
23.95,23569,1335,90.07,8.6
24,23640,1312,90.05,8.6
24.05,23689,1296,90.09,8.6
24.1,23754,1293,90.1,8.6
24.15,23820,1306,90.09,8.6
24.2,23876,1334,90.12,8.6
24.25,23946,1351,90.12,8.6
24.3,24045,1345,90.12,8.6
24.35,24114,1331,90.12,8.6
24.4,24145,1311,90.14,8.6
24.45,24207,1296,90.14,8.6
24.5,24287,1302,90.16,8.6
24.55,24353,1322,90.18,8.6
24.6,24422,1335,90.14,8.6
24.65,24483,1343,90.18,8.6
24.7,24548,1342,90.19,8.6
24.75,24631,1323,90.19,8.6
24.8,24698,1304,90.21,8.6
24.85,24737,1284,90.21,8.6
24.9,24807,1254,90.21,8.6
24.95,24891,1231,90.21,8.6
25,24943,1225,90.25,8.6
25.05,24988,1233,90.25,8.6
25.1,25038,1259,90.27,8.6
25.15,25111,1293,90.27,8.6
25.2,25199,1315,90.27,8.6
25.25,25275,1319,90.25,8.6
25.3,25322,1306,90.28,8.6
25.35,25373,1282,90.3,8.6
25.4,25451,1259,90.3,8.6
25.45,25523,1251,90.3,8.6
25.5,25567,1254,90.34,8.6
25.55,25625,1257,90.32,8.6
25.6,25698,1259,90.34,8.6
25.65,25772,1261,90.36,8.6
25.7,25832,1262,90.36,8.6
25.75,25885,1266,90.36,8.6
25.8,25934,1272,90.36,8.6
25.85,26009,1264,90.36,8.6
25.9,26102,1246,90.36,8.6
25.95,26159,1227,90.39,8.6
26,26190,1216,90.41,8.6
26.05,26241,1222,90.41,8.6
26.1,26307,1244,90.43,8.6
26.15,26395,1265,90.43,8.6
26.2,26462,1273,90.43,8.6
26.25,26521,1257,90.43,8.6
26.3,26575,1228,90.46,8.6
26.35,26629,1205,90.46,8.6
26.4,26694,1194,90.46,8.6
26.45,26760,1201,90.46,8.6
26.5,26801,1217,90.48,8.6
26.55,26873,1221,90.48,8.6
26.6,26946,1216,90.46,8.6
26.65,27009,1210,90.5,8.6
26.7,27056,1206,90.52,8.6
26.75,27110,1213,90.52,8.6
26.8,27166,1228,90.54,8.6
26.85,27237,1232,90.55,8.6
26.9,27319,1215,90.55,8.6
26.95,27383,1183,90.55,8.6
27,27423,1148,90.55,8.6
27.05,27463,1128,90.57,8.6
27.1,27518,1136,90.57,8.6
27.15,27584,1167,90.61,8.6
27.2,27649,1204,90.59,8.6
27.25,27718,1206,90.57,8.6
27.3,27775,1156,90.59,8.6
27.35,27833,1056,90.61,8.6
27.4,27895,910,90.63,8.6
27.45,27966,780,90.64,8.6
27.5,27921,708,90.64,8.6
27.55,27935,707,90.66,8.6
27.6,27984,775,90.64,8.6
27.65,28053,882,90.66,8.6
27.7,28122,976,90.68,8.6
27.75,28161,1048,90.7,8.6
27.8,28208,1108,90.7,8.6
27.85,28257,1157,90.7,8.6
27.9,28320,1214,90.7,8.6
27.95,28390,1264,90.73,8.6
28,28469,1281,90.7,8.6
28.05,28546,1259,90.73,8.6
28.1,28593,1206,90.73,8.6
28.15,28647,1146,90.75,8.6
28.2,28703,1104,90.77,8.6
28.25,28744,1095,90.77,8.6
28.3,28793,1110,90.79,8.6
28.35,28857,1134,90.79,8.6
28.4,28932,1155,90.77,8.6
28.45,28989,1163,90.79,8.6
28.5,29037,1162,90.81,8.6
28.55,29088,1167,90.81,8.6
28.6,29149,1178,90.82,8.6
28.65,29218,1188,90.82,8.6
28.7,29276,1191,90.84,8.6
28.75,29330,1172,90.82,8.6
28.8,29405,1126,90.82,8.6
28.85,29462,1069,90.82,8.6
28.9,29497,1024,90.88,8.6
28.95,29537,1010,90.9,8.6
29,29584,1031,90.9,8.6
29.05,29636,1075,90.9,8.6
29.1,29690,1109,90.9,8.6
29.15,29775,1112,90.9,8.6
29.2,29849,1083,90.9,8.6
29.25,29877,1038,90.9,8.6
29.3,29900,994,90.93,8.6
29.35,29948,965,90.93,8.6
29.4,30022,946,90.93,8.6
29.45,30076,924,90.95,8.6
29.5,30111,891,90.97,8.6
29.55,30143,840,90.95,8.6
29.6,30190,777,90.97,8.6
29.65,30224,707,90.97,8.6
29.7,30267,636,90.99,8.6
29.75,30295,573,90.99,8.6
29.8,30309,526,91,8.6
29.85,30316,495,91,8.6
29.9,30348,481,91,8.6
29.95,30385,481,91,8.6
30,30419,504,91,8.6
30.05,30422,563,91.04,8.6
30.1,30436,670,91.04,8.6
30.15,30469,823,91.04,8.6
30.2,30525,992,91.04,8.6
30.25,30608,1139,91.06,8.6
30.3,30683,1239,91.08,8.6
30.35,30752,1290,91.04,8.6
30.4,30806,1315,91.08,8.6
30.45,30858,1352,91.08,8.6
30.5,30923,1421,91.09,8.6
30.55,31002,1522,91.09,8.6
30.6,31093,1634,91.09,8.6
30.65,31179,1714,91.09,8.6
30.7,31272,1736,91.09,8.6
30.75,31375,1685,91.09,8.6
30.8,31475,1570,91.09,8.6
30.85,31552,1438,91.09,8.6
30.9,31562,1334,91.13,8.6
30.95,31626,1284,91.13,8.6
31,31685,1285,91.15,8.6
31.05,31765,1313,91.13,8.6
31.1,31837,1308,91.13,8.6
31.15,31931,1253,91.13,8.6
31.2,31988,1155,91.13,8.6
31.25,32010,1043,91.17,8.6
31.3,32058,961,91.17,8.6
31.35,32094,941,91.2,8.6
31.4,32139,984,91.2,8.6
31.45,32182,1056,91.2,8.6
31.5,32249,1130,91.2,8.6
31.55,32326,1168,91.2,8.6
31.6,32399,1157,91.18,8.6
31.65,32452,1115,91.22,8.6
31.7,32482,1061,91.22,8.6
31.75,32536,1019,91.22,8.6
31.8,32582,995,91.22,8.6
31.85,32638,987,91.22,8.6
31.9,32687,983,91.22,8.6
31.95,32742,982,91.22,8.6
32,32787,985,91.22,8.6
32.05,32824,999,91.24,8.6
32.1,32871,1026,91.27,8.6
32.15,32934,1054,91.29,8.6
32.2,33001,1071,91.29,8.6
32.25,33048,1066,91.27,8.6
32.3,33100,1035,91.29,8.6
32.35,33155,988,91.27,8.6
32.4,33205,938,91.29,8.6
32.45,33240,902,91.31,8.6
32.5,33275,894,91.31,8.6
32.55,33322,916,91.31,8.6
32.6,33369,962,91.31,8.6
32.65,33414,1013,91.31,8.6
32.7,33471,1043,91.31,8.6
32.75,33546,1035,91.31,8.6
32.8,33604,992,91.33,8.6
32.85,33640,930,91.35,8.6
32.9,33668,879,91.35,8.6
32.95,33709,861,91.36,8.6
33,33746,875,91.35,8.6
33.05,33793,908,91.36,8.6
33.1,33844,933,91.35,8.6
33.15,33917,936,91.36,8.6
33.2,33956,920,91.38,8.6
33.25,33983,902,91.4,8.6
33.3,34022,893,91.4,8.6
33.35,34075,901,91.42,8.6
33.4,34121,916,91.42,8.6
33.45,34166,920,91.42,8.6
33.5,34227,906,91.42,8.6
33.55,34272,879,91.42,8.6
33.6,34305,851,91.42,8.6
33.65,34331,834,91.42,8.6
33.7,34379,841,91.44,8.6
33.75,34428,865,91.44,8.6
33.8,34472,894,91.44,8.6
33.85,34512,918,91.45,8.6
33.9,34561,921,91.45,8.6
33.95,34623,899,91.44,8.6
34,34667,862,91.47,8.6
34.05,34696,823,91.47,8.6
34.1,34737,801,91.47,8.6
34.15,34766,807,91.49,8.6
34.2,34802,835,91.49,8.6
34.25,34848,867,91.51,8.6
34.3,34907,881,91.49,8.6
34.35,34971,869,91.49,8.6
34.4,34999,837,91.51,8.6
34.45,35026,808,91.53,8.6
34.5,35058,799,91.53,8.6
34.55,35104,813,91.53,8.6
34.6,35148,835,91.53,8.6
34.65,35190,848,91.53,8.6
34.7,35247,839,91.53,8.6
34.75,35295,810,91.53,8.6
34.8,35320,785,91.53,8.6
34.85,35336,773,91.54,8.6
34.9,35388,783,91.54,8.6
34.95,35433,808,91.56,8.6
35,35475,829,91.56,8.6
35.05,35518,833,91.56,8.6
35.1,35562,819,91.58,8.6
35.15,35610,787,91.56,8.6
35.2,35641,754,91.56,8.6
35.25,35664,734,91.6,8.6
35.3,35706,734,91.6,8.6
35.35,35745,758,91.62,8.6
35.4,35777,796,91.63,8.6
35.45,35815,829,91.63,8.6
35.5,35870,844,91.6,8.6
35.55,35927,827,91.6,8.6
35.6,35965,783,91.63,8.6
35.65,35994,733,91.63,8.6
35.7,36021,701,91.63,8.6
35.75,36054,704,91.63,8.6
35.8,36074,743,91.63,8.6
35.85,36114,790,91.63,8.6
35.9,36179,819,91.63,8.6
35.95,36237,811,91.63,8.6
36,36272,768,91.63,8.6
36.05,36295,712,91.65,8.6
36.1,36315,678,91.67,8.6
36.15,36350,678,91.65,8.6
36.2,36381,706,91.67,8.6
36.25,36422,747,91.69,8.6
36.3,36465,771,91.69,8.6
36.35,36525,770,91.65,8.6
36.4,36556,752,91.69,8.6
36.45,36576,732,91.69,8.6
36.5,36609,725,91.72,8.6
36.55,36645,734,91.72,8.6
36.6,36695,749,91.72,8.6
36.65,36729,754,91.72,8.6
36.7,36771,744,91.72,8.6
36.75,36809,719,91.72,8.6
36.8,36845,691,91.71,8.6
36.85,36872,673,91.72,8.6
36.9,36890,675,91.74,8.6
36.95,36930,691,91.74,8.6
37,36980,713,91.74,8.6
37.05,37015,736,91.74,8.6
37.1,37040,744,91.74,8.6
37.15,37083,737,91.74,8.6
37.2,37130,716,91.74,8.6
37.25,37168,681,91.74,8.6
37.3,37194,645,91.74,8.6
37.35,37210,620,91.76,8.6
37.4,37250,619,91.78,8.6
37.45,37276,648,91.78,8.6
37.5,37306,699,91.8,8.6
37.55,37336,755,91.81,8.6
37.6,37388,789,91.78,8.6
37.65,37451,785,91.78,8.6
37.7,37489,742,91.78,8.6
37.75,37515,676,91.8,8.6
37.8,37538,614,91.8,8.6
37.85,37560,586,91.81,8.6
37.9,37585,599,91.81,8.6
37.95,37612,642,91.81,8.6
38,37647,690,91.81,8.6
38.05,37697,713,91.83,8.6
38.1,37750,697,91.81,8.6
38.15,37786,652,91.81,8.6
38.2,37796,600,91.83,8.6
38.25,37812,565,91.83,8.6
38.3,37843,568,91.85,8.6
38.35,37872,603,91.85,8.6
38.4,37908,651,91.85,8.6
38.45,37938,690,91.85,8.6
38.5,37983,700,91.85,8.6
38.55,38034,674,91.85,8.6
38.6,38065,630,91.85,8.6
38.65,38078,586,91.85,8.6
38.7,38096,558,91.87,8.6
38.75,38129,560,91.87,8.6
38.8,38154,589,91.89,8.6
38.85,38190,630,91.87,8.6
38.9,38223,665,91.89,8.6
38.95,38258,680,91.87,8.6
39,38301,666,91.87,8.6
39.05,38340,630,91.87,8.6
39.1,38367,586,91.87,8.6
39.15,38380,548,91.89,8.6
39.2,38404,528,91.9,8.6
39.25,38431,534,91.9,8.6
39.3,38460,566,91.92,8.6
39.35,38488,608,91.92,8.6
39.4,38521,649,91.92,8.6
39.45,38552,675,91.9,8.6
39.5,38597,670,91.9,8.6
39.55,38649,638,91.9,8.6
39.6,38666,589,91.92,8.6
39.65,38684,535,91.94,8.6
39.7,38703,496,91.94,8.6
39.75,38728,492,91.94,8.6
39.8,38754,516,91.94,8.6
39.85,38779,563,91.94,8.6
39.9,38800,615,91.96,8.6
39.95,38840,646,91.96,8.6
40,38895,642,91.94,8.6
40.05,38931,606,91.94,8.6
40.1,38949,545,91.96,8.6
40.15,38967,486,91.96,8.6
40.2,38980,454,91.96,8.6
40.25,39000,461,91.96,8.6
40.3,39026,506,91.96,8.6
